# Tennis strings database
# Multi-value fields use | as separator (gauges, whyPick)
# Ratings: 1–10 scale
# type:      polyester | multifilament | natural-gut | synthetic-gut
# feel:      crisp | soft | firm | lively
# shape:     round | pentagonal | hexagonal | octagonal | textured
# priceBand: budget | mid | premium
# armFriendly: true | false
slug,brand,name,type,feel,shape,gauges,armFriendly,priceBand,spin,control,power,comfort,durability,whyPick,notes
# ── Polyesters ────────────────────────────────────────────────────────────────
luxilon-alu-power,Luxilon,ALU Power,polyester,crisp,pentagonal,16L|17,false,premium,8,9,6,5,8,Benchmark poly with exceptional control and crisp feedback|Excellent tension maintenance for consistent performance|Works brilliantly as main string in gut hybrids|Used by more ATP/WTA pros than any other string,The string that changed professional tennis. A co-polyester blend with a satisfying ping on contact and remarkable tension maintenance. The reference point for all poly strings.
babolat-rpm-blast,Babolat,RPM Blast,polyester,crisp,octagonal,16|17|18,false,mid,9,8,6,4,7,Exceptional topspin production thanks to the octagonal shape|Very popular and easy to find at a competitive price|Great balance of spin and control|Slightly softer feel than Luxilon at a similar gauge,Rafa's string. The octagonal cross-section bites into the ball and snaps back for heavy topspin. One of the highest spin-generating polys on the market.
solinco-tour-bite,Solinco,Tour Bite,polyester,crisp,pentagonal,16|16L|17|17L|18|19|20,false,mid,9,9,5,4,8,Massive spin potential and outstanding control|Available in more gauges than almost any other string|Great for big swingers with aggressive games|Benchmark choice for serve-and-volley players,Sharp pentagonal profile bites hard and the ultra-stiff construction delivers pin-point placement. Available in more gauges than almost any string — ideal for dialling in your setup.
tecnifibre-black-code,Tecnifibre,Black Code,polyester,firm,hexagonal,16|17|18,false,mid,7,9,6,5,9,Top-tier control with a slightly softer feel than most crisp polys|Excellent durability — holds shape over many sessions|Great for flat hitters who want precision|Trusted by ATP pros in the Tecnifibre stable,Hexagonal profile gives excellent bite while staying slightly softer than Tour Bite or RPM Blast. The control-oriented poly for players who want a touch more comfort.
head-hawk,Head,Hawk,polyester,crisp,octagonal,16|17|18,false,mid,8,8,7,5,8,Excellent all-round balance of spin control and power|More pop than most stiff polys without sacrificing control|Consistent across a wide range of tensions|Popular from club to tour level,Balanced performer sitting between RPM Blast and ALU Power. Hits the sweet spot of spin, control, and power. A great choice if you can't decide between the market leaders.
volkl-cyclone,Völkl,Cyclone,polyester,firm,pentagonal,16|17|18,false,budget,8,8,6,4,8,Exceptional value — pro-level spin and control at a budget price|Great for frequent breakers who go through strings quickly|Pentagonal shape provides excellent bite and snap-back|Available in thin 18g for maximum spin,Budget poly that punches well above its price point. Spin and control performance that rivals strings costing twice as much. The smart choice for heavy stringers.
wilson-revolve,Wilson,Revolve,polyester,soft,round,16|17,true,mid,6,7,7,7,7,One of the most arm-friendly polys on the market|Good balanced performance across all attributes|Round shape delivers a livelier more comfortable feel|Ideal transition string for players moving from multi to poly,The comfortable poly. Round cross-section and softer construction absorb shock more effectively than typical stiff polys. Ideal for players who love poly control but need to spare their arm.
solinco-hyper-g,Solinco,Hyper-G,polyester,crisp,hexagonal,16|17|17L|18,false,mid,9,8,6,4,9,Exceptional spin — one of the best on the market|Superb durability for a spin-oriented poly|Signature green stands out in any string bed|Great for players wanting Tour Bite performance with better longevity,Sharp hexagonal profile is relentless at grabbing and releasing the ball. One of the most durable spin-oriented polys available. The string that put Solinco on the map.
yonex-poly-tour-pro,Yonex,Poly Tour Pro,polyester,firm,hexagonal,16|16L|17,false,mid,7,9,6,6,8,Outstanding control and directional precision|Slightly softer feel than most hexagonal polys|Pairs beautifully with arm-friendly EZONE frames|Consistent feel throughout the string life,Refined poly with surgical control and a firm predictable response without being brutally stiff. Favoured by players who want poly precision with a more refined touch.
signum-pro-poly-plasma,Signum Pro,Poly Plasma,polyester,crisp,textured,17|18,false,budget,8,7,7,5,7,Textured surface maximises spin production at budget price|Livelier feel than most budget polys|Good for players between budget and mid-tier|Available in very thin 18g for maximum bite,Textured surface adds extra spin bite with a livelier feel than most budget polys. Excellent value for players wanting maximum spin potential without premium prices.
luxilon-4g,Luxilon,4G,polyester,firm,round,16|16L|17,false,premium,7,9,5,5,9,Tour-level durability and control|Very stiff — preferred by precision flat hitters|Excellent in dense 18x20 patterns|Strong tension maintenance over extended use,Luxilon's most durable premium poly. Exceptionally stiff construction delivers outstanding control and longevity. Popular with flat hitters and aggressive baseliners who demand precision.
luxilon-4g-rough,Luxilon,4G Rough,polyester,crisp,textured,16L|17,false,premium,9,8,5,4,8,Textured surface adds serious spin to 4G's precision|Combines 4G control with enhanced spin potential|Popular choice for tour-level hybrid setups|Premium construction with consistent performance,Textured version of 4G that adds significant spin without sacrificing the control that makes Luxilon famous. Frequently seen in professional hybrid setups alongside natural gut.
babolat-rpm-soft,Babolat,RPM Soft,polyester,soft,round,16|17,true,mid,6,7,8,7,7,Arm-friendly poly with a comfortable round shape|Good for players with arm sensitivity who still want poly durability|Maintains decent poly control and durability|Suitable for players switching from multifilament,The most arm-friendly string in the RPM range. Round shape and softer construction provide a gentler feel while retaining adequate poly control and durability.
solinco-confidential,Solinco,Confidential,polyester,soft,round,16L|17|18,true,mid,6,8,7,7,8,Arm-friendly poly with strong control|Softer alternative to Tour Bite|Good durability for a comfortable poly|Well-rounded option for intermediate and advanced players,Solinco's comfort-focused poly. Round construction and softer compound make it noticeably gentler than Tour Bite while retaining solid control and above-average durability.
head-lynx-tour,Head,Lynx Tour,polyester,crisp,octagonal,16|17,false,mid,8,8,7,5,8,Octagonal profile for strong spin bite|Balanced spin-control-power combination|Reliable performer across a range of tensions|Popular mid-range alternative to Head Hawk,Head's spin-oriented octagonal poly. Delivers a satisfying combination of spin bite and all-round control. A popular mid-market choice for club players wanting spin without going premium.
wilson-revolve-spin,Wilson,Revolve Spin,polyester,firm,hexagonal,16|17,false,mid,8,7,6,5,7,Hexagonal profile adds more spin than standard Revolve|Good for players wanting spin with moderate control|More bite than the round Revolve|Reasonable mid-tier price for a spin-focused poly,Spin-focused sibling to Wilson Revolve. Hexagonal cross-section delivers noticeably more spin bite than the original Revolve while retaining Wilson's consistent construction quality.
tecnifibre-pro-red-code,Tecnifibre,Pro Red Code,polyester,crisp,pentagonal,16|17|18,false,mid,9,8,5,4,7,Exceptional spin from a sharp pentagonal shape|Strong control alongside high spin output|Available in multiple gauges for customisation|Trusted choice in the Tecnifibre touring pro stable,Tecnifibre's spin-focused poly with a sharp pentagonal profile. Comparable to Tour Bite in spin potential with the Tecnifibre construction giving a slightly different feel and response.
signum-pro-tornado,Signum Pro,Tornado,polyester,crisp,pentagonal,17|18,false,budget,8,7,7,4,7,Great spin at a very affordable price|Pentagonal shape bites and releases well|Available in thin gauges for extra bite|Budget option with above-average spin performance,Budget pentagonal poly that punches well above its price. Excellent spin and solid control make this a popular choice for club players who go through strings frequently.
yonex-poly-tour-strike,Yonex,Poly Tour Strike,polyester,firm,round,16|16L|17,false,mid,6,8,8,6,8,High power output for a polyester|Solid control alongside good pace|Comfortable feel compared to most polys|Good for players wanting poly durability with extra pop,Yonex's power-focused poly. Round cross-section delivers more power than typical polys while maintaining adequate control. Great for players who generate their own spin and want extra pace.
weiss-cannon-ultra-cable,Weiss CANNON,Ultra Cable,polyester,soft,round,17|18,true,budget,5,7,7,8,6,Very arm-friendly despite being a polyester|One of the softest polys at any price|Good for arm-sensitive players who want poly durability|Budget price with comfort-first properties,Exceptionally arm-friendly budget poly. Soft round construction makes this one of the most comfortable polys available. Great for arm-sensitive players who need poly durability without the punishment.
luxilon-element,Luxilon,Element,polyester,soft,round,16L|17,true,premium,6,8,7,7,8,Luxilon quality and control with significantly better comfort|Arm-friendly poly — great for the transition from multifilament|Excellent in hybrids as main string with comfortable cross|Holds tension well for consistent long-term playability,ALU Power's softer sibling. Same premium co-poly construction with a round cross-section and more flexible feel. Genuinely arm-friendly while delivering Luxilon's trademark control.
babolat-rpm-power,Babolat,RPM Power,polyester,soft,round,16|17,true,mid,6,7,8,7,7,More power and comfort than RPM Blast|Great transition string from multi to poly|Round shape reduces shock — better for sensitive arms|Good as cross string in gut/poly hybrids for extra pop,RPM Blast's power-focused sibling. Trades bite for a more comfortable lively response. Feels closer to a multifilament while keeping poly durability and decent control.
# ── Multifilaments ────────────────────────────────────────────────────────────
