# Tennis racquets database
# Multi-value fields use | as separator (recommendedStrings)
# balanceStrungCm: measured from butt end — converted to HL/Even/HH by build script
#   < 32.5 cm → Head Light (HL)
#   32.5 – 34.4 cm → Even
#   ≥ 34.5 cm → Head Heavy (HH)
# level: beginner | intermediate | advanced | pro
# stiffnessRA: Babolat RA stiffness rating (optional — leave blank if unknown)
slug,brand,model,level,pattern,headSizeSqIn,weightStrungG,balanceStrungCm,stiffnessRA,stringTensionMinLbs,stringTensionMaxLbs,recommendedStrings,notes
# ── Advanced / Tour ───────────────────────────────────────────────────────────
wilson-pro-staff-97-v14,Wilson,Pro Staff 97 v14,advanced,16x19,97,315,31.5,63,50,60,luxilon-alu-power|wilson-natural-gut|tecnifibre-x-one-biphase,The ultimate precision tool. Dense low-powered frame favoured by players who want pinpoint control and feedback. Demands clean ball-striking but rewards with surgical shot-making.
wilson-blade-98-16x19-v9,Wilson,Blade 98 (16x19) v9,advanced,16x19,98,304,31.5,64,50,60,luxilon-alu-power|babolat-rpm-blast|tecnifibre-black-code,One of the best all-round frames on tour. Beautiful balance of control feel and spin potential. Popular with advanced club players who want a competitive edge without going to extremes.
wilson-blade-98-18x20-v9,Wilson,Blade 98 (18x20) v9,advanced,18x20,98,304,31.5,64,50,60,luxilon-alu-power|luxilon-4g|tecnifibre-black-code,Dense pattern version of the Blade 98. The 18x20 string bed provides maximum control for advanced players with complete confidence in their swing. The most precise Wilson Blade option.
head-prestige-mp-2023,Head,Prestige MP 2023,advanced,18x20,98,320,31.5,65,52,62,luxilon-4g|tecnifibre-black-code|luxilon-alu-power,One of the most control-oriented frames on the market. Dense 18x20 pattern and heavy static weight suit advanced players who have complete confidence in their swing. Unforgiving but incredibly rewarding.
tecnifibre-tfight-rs-305,Tecnifibre,TFight RS 305,advanced,16x19,98,305,31.5,64,48,60,tecnifibre-black-code|tecnifibre-x-one-biphase|luxilon-alu-power,A hidden gem. Built around RS technology for enhanced flex and feel. A precision weapon for advanced players who want a dead ball-pocketing sensation and excellent feedback on every shot.
tecnifibre-tfight-315-isoflex,Tecnifibre,TFight 315 Isoflex,advanced,16x19,98,315,31.0,64,48,60,tecnifibre-black-code|luxilon-alu-power|tecnifibre-x-one-biphase,Advanced player's frame with excellent feel and control. The Isoflex grommet system reduces vibration without adding stiffness. A comfortable yet precise tool for experienced players.
dunlop-cx-200-2024,Dunlop,CX 200 2024,advanced,18x20,98,305,31.5,62,48,60,luxilon-alu-power|head-hawk|babolat-vs-team,Dense 18x20 pattern gives ultimate control and precision. Every shot lands exactly where you aim. For players who trust their swing speed to generate their own power.
babolat-pure-aero-98-2023,Babolat,Pure Aero 98 2023,advanced,16x19,98,305,31.0,72,50,59,babolat-rpm-blast|solinco-tour-bite|solinco-hyper-g,More control-oriented sibling of the Pure Aero. Smaller 98 square inch head suits advanced players who want the Pure Aero's spin potential with better precision and feel.
# ── Intermediate ──────────────────────────────────────────────────────────────
babolat-pure-aero-2023,Babolat,Pure Aero 2023,intermediate,16x19,100,300,33.0,71,50,59,babolat-rpm-blast|solinco-tour-bite|solinco-hyper-g,Rafa's weapon of choice. Aerodynamic frame and open 16x19 pattern make this a spin-generating machine. Great for baseline grinders who love heavy kicking topspin.
babolat-pure-drive-2021,Babolat,Pure Drive 2021,intermediate,16x19,100,300,32.0,71,50,59,babolat-rpm-blast|wilson-nxt|prince-synthetic-gut,Best-selling racquet in the world for good reason. Powerful forgiving frame that suits a wide range of players. If you just want to play and win this is where most people start.
babolat-pure-strike-100-2023,Babolat,Pure Strike 100 2023,intermediate,16x19,100,305,32.0,65,48,59,tecnifibre-black-code|luxilon-alu-power|wilson-nxt,Precision-focused member of the Pure family. Combines control-oriented DNA with enough power for intermediate players. A great choice for those who prioritise shot placement over raw pace.
head-speed-mp-2024,Head,Speed MP 2024,intermediate,16x19,100,295,31.5,63,50,59,luxilon-alu-power|head-hawk|wilson-nxt,Novak-inspired. Light fast and versatile — a true all-court weapon. Suits players who want a bit of everything without sacrificing feel or manoeuvrability.
head-radical-mp-2023,Head,Radical MP 2023,intermediate,16x19,98,295,33.0,64,50,59,head-hawk|luxilon-element|wilson-nxt,Agassi's old frame reborn. A balanced all-court racquet that rewards smart tennis over brute power. Great for players who mix their game and like a classic feel.
head-gravity-mp-2021,Head,Gravity MP 2021,intermediate,16x20,100,295,31.5,63,52,62,head-lynx-tour|head-hawk|wilson-nxt,Alexander Zverev's former frame. Unique 16x20 string pattern offers an unusual blend of spin and control. Very versatile all-court racquet that suits a wide range of playing styles.
head-speed-s-2024,Head,Speed S 2024,intermediate,16x19,105,285,32.0,58,50,59,wilson-nxt|head-velocity-mlt|babolat-xcel,Larger lighter version of the Speed MP. The 105 square inch head gives more forgiveness for intermediate players while retaining the Speed's comfortable flexible feel.
yonex-ezone-98-2024,Yonex,EZONE 98 2024,intermediate,16x19,98,305,31.5,62,45,60,wilson-nxt|tecnifibre-x-one-biphase|yonex-poly-tour-pro,Famously arm-friendly thanks to its isometric head shape. Go-to for players wanting solid performance without battering their elbow. Comfortable powerful and forgiving on every shot.
yonex-vcore-98-2023,Yonex,VCore 98 2023,intermediate,16x19,98,305,31.0,62,45,60,solinco-hyper-g|yonex-poly-tour-pro|babolat-rpm-blast,Yonex's spin-focused frame. The VCore 98 channels spin potential through its aerodynamic frame design and open 16x19 pattern. Very popular with competitive club and intermediate players.
yonex-ezone-100-2024,Yonex,EZONE 100 2024,intermediate,16x19,100,300,32.0,60,45,60,yonex-poly-tour-pro|wilson-nxt|tecnifibre-x-one-biphase,Larger version of the EZONE 98. The 100 square inch isometric head offers excellent comfort and forgiveness. Slightly more power than the 98 while retaining Yonex's signature arm-friendly feel.
wilson-ultra-100-v4,Wilson,Ultra 100 v4,intermediate,16x19,100,297,34.5,67,50,60,babolat-rpm-blast|wilson-revolve|wilson-nxt,Power-focused intermediate frame with head-heavy balance for extra pace. Open 16x19 pattern aids spin generation. Great for players who want power and forgiveness from their racquet.
wilson-clash-100-v2,Wilson,Clash 100 v2,intermediate,16x19,100,295,32.0,55,50,62,wilson-revolve|wilson-nxt|babolat-rpm-power,Famously flexible and arm-friendly. Wilson's FreeFlex technology makes this one of the most comfortable powerful frames on the market. Excellent for players with arm concerns who still want performance.
wilson-burn-100s-v5,Wilson,Burn 100S v5,intermediate,16x15,100,295,33.5,72,50,60,solinco-hyper-g|babolat-rpm-blast|solinco-tour-bite,The extreme spin frame. Wilson's 16x15 spin-focused pattern works with almost any string to maximise topspin output. Ideal for players who want the racquet to do the heavy lifting on spin.
prince-phantom-100-2023,Prince,Phantom 100 2023,intermediate,16x18,100,290,31.5,66,50,62,solinco-tour-bite|volkl-cyclone|prince-premier-control,Beautifully crafted frame with a unique 16x18 pattern adding extra pop and spin. Lighter than it feels and hugely satisfying for all-round baseliners who want something a little different.
dunlop-sx-300-2022,Dunlop,SX 300 2022,intermediate,16x19,100,300,34.0,68,50,62,solinco-tour-bite|babolat-rpm-blast|solinco-hyper-g,Dunlop's spin-focused player's racquet. Aerodynamic frame design maximises head speed for heavy topspin. Popular at intermediate level for players who love grinding from the baseline.
tecnifibre-tf-x1-v2,Tecnifibre,TF-X1 v2,intermediate,16x20,102,285,34.0,62,50,60,wilson-nxt|tecnifibre-x-one-biphase|babolat-xcel,Tecnifibre's innovative flexible frame designed to reduce arm shock while maintaining solid performance. Great for players who want to stay comfortable without sacrificing too much control or feel.
head-boom-mp-2022,Head,Boom MP 2022,intermediate,16x19,100,280,32.0,54,50,59,wilson-nxt|babolat-rpm-power|wilson-revolve,Very flexible and comfortable frame. Low stiffness makes this one of the most arm-friendly player's racquets available. Excellent for intermediate players with arm sensitivity who want good all-round performance.
# ── Beginner ──────────────────────────────────────────────────────────────────
babolat-pure-drive-team-2023,Babolat,Pure Drive Team 2023,beginner,16x19,100,285,34.5,70,50,59,wilson-nxt|prince-synthetic-gut|wilson-synthetic-gut-power,Lighter version of the Pure Drive. Same powerful forgiving character at a more manageable weight. Perfect for beginners and intermediate players stepping up from entry-level racquets.
